Domain,Intent,Domain_guideline,Intent_strategy,Required_slots,Confirmation_policy,Fallback_question,Response_outline
HD,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
HD,Recommend,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","추천을 제공한다. 선호/제약(가격, 거리, 취향) 슬롯을 먼저 최소로 확보한다.",추천 대상; 제약(예산/거리/취향),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,추천 대상 / 제약(예산/거리/취향) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
MISC,Chit-Chat,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","가벼운 대화로 응답하되, 사용자의 다음 의도를 탐색하는 질문을 1개 정도 덧붙인다.",,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
MISC,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
MISC,Play,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",미디어를 재생한다. 콘텐츠가 모호하면 장르/채널/플랫폼 선택지를 제안한다.,콘텐츠/채널; 플랫폼(해당 시),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,콘텐츠/채널 / 플랫폼(해당 시) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
MISC,Recommend,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","추천을 제공한다. 선호/제약(가격, 거리, 취향) 슬롯을 먼저 최소로 확보한다.",추천 대상; 제약(예산/거리/취향),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,추천 대상 / 제약(예산/거리/취향) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
MISC,Search,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",요청한 콘텐츠/정보를 검색해 상위 결과를 요약하고 선택을 받는다.,키워드; 범위(플랫폼/지역/기간),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,키워드 / 범위(플랫폼/지역/기간) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
계산,Calculate,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","계산 결과를 제시하고, 과정이 필요하면 간단히 보여준다.",수식/값,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,수식/값 정보를 알려줄래요?,1) 결과 2) (필요시) 간단한 과정/대안
계산,can you,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",의도를 만족하는 정보를 제공하거나 동작을 수행한다. 필수 슬롯이 없으면 질문한다.,,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
기기,Control,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",기기/서비스의 동작을 수행한다. 위험/비가역이면 확인 질문(또는 안전모드) 후 실행한다.,"대상(기기/기능); 명령(무엇을); 값(온도/모드/단계 등, 해당 시)","실행 전 대상이 명확하면 즉시 수행, 모호/다수면 선택 질문. 안전/비가역(전원 차단, 공조 설정 등)은 확인 1회.","어느 기기(예: 거실 조명, 안방 에어컨)를 말할까요?",1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
기기,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
기기,Monitor,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","상태/현재값을 조회해 결과를 요약하고, 필요한 경우 추가 옵션(상세/다음 시간대)을 제안한다.",대상/범위; 시간(현재/오늘/내일 등); 위치/기기(해당 시),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,대상/범위 / 시간(현재/오늘/내일 등) 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
기기,Solve,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",문제 풀이를 단계적으로 제공한다.,문제/조건,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,문제/조건 정보를 알려줄래요?,1) 결과 2) (필요시) 간단한 과정/대안
기기,Turn Off,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",대상을 끄거나 비활성화한다. 대상이 모호하면 후보를 제시해 선택을 받는다.,대상(기기/기능),"실행 전 대상이 명확하면 즉시 수행, 모호/다수면 선택 질문. 안전/비가역(전원 차단, 공조 설정 등)은 확인 1회.","어느 기기(예: 거실 조명, 안방 에어컨)를 말할까요?",1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
기기,Turn On,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",대상을 켜거나 활성화한다. 대상이 모호하면 후보를 제시해 선택을 받는다.,대상(기기/기능),"실행 전 대상이 명확하면 즉시 수행, 모호/다수면 선택 질문. 안전/비가역(전원 차단, 공조 설정 등)은 확인 1회.","어느 기기(예: 거실 조명, 안방 에어컨)를 말할까요?",1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
기기,can you,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",의도를 만족하는 정보를 제공하거나 동작을 수행한다. 필수 슬롯이 없으면 질문한다.,,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
기기,how to,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",방법 안내(튜토리얼)로 응답한다. 단계/주의사항/필요조건을 명확히 한다.,목표; 현재 상태(무엇을 할 수 있는지),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,목표 / 현재 상태(무엇을 할 수 있는지) 정보를 알려줄래요?,1) 요약 1줄 2) 단계(1~4) 3) 주의/대안 1개
날씨,Compare,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",두 대상의 비교를 구조화(기준/요약/추천)한다.,비교 대상; 비교 기준,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,비교 대상 / 비교 기준 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
날씨,Explain,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","원리/이유/문제 해결을 설명한다. 증상-원인-조치 순서로, 선택지를 제시한다.",증상; 상황(언제/어떻게),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,증상 / 상황(언제/어떻게) 정보를 알려줄래요?,1) 요약 1줄 2) 단계(1~4) 3) 주의/대안 1개
날씨,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
날씨,Prepare,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",사전 준비/예약/장보기/모드 설정 등 다음 행동을 돕는 절차를 안내하거나 자동화한다.,목표; 시간/조건(선택),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,목표 / 시간/조건(선택) 정보를 알려줄래요?,1) 요약 1줄 2) 단계(1~4) 3) 주의/대안 1개
날씨,Solve,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",문제 풀이를 단계적으로 제공한다.,문제/조건,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,문제/조건 정보를 알려줄래요?,1) 결과 2) (필요시) 간단한 과정/대안
뉴스,Control,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",기기/서비스의 동작을 수행한다. 위험/비가역이면 확인 질문(또는 안전모드) 후 실행한다.,"대상(기기/기능); 명령(무엇을); 값(온도/모드/단계 등, 해당 시)",대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,대상(기기/기능) / 명령(무엇을) 정보를 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
뉴스,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
뉴스,Seek,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",정보를 '알아봐줘/확인해줘' 형태로 탐색한다. 필요 시 출처/범위를 уточ한다.,무엇을 확인할지; 범위/기간,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,무엇을 확인할지 / 범위/기간 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
라디오,Turn Off,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",대상을 끄거나 비활성화한다. 대상이 모호하면 후보를 제시해 선택을 받는다.,대상(기기/기능),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,대상(기기/기능) 정보를 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
라디오,Turn On,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",대상을 켜거나 활성화한다. 대상이 모호하면 후보를 제시해 선택을 받는다.,대상(기기/기능),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,대상(기기/기능) 정보를 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
라디오,can you,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",의도를 만족하는 정보를 제공하거나 동작을 수행한다. 필수 슬롯이 없으면 질문한다.,,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
번역,Translate,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","번역 결과를 제공하고, 필요 시 톤/격식 옵션을 묻는다.",원문; 목표 언어; 톤(선택),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,원문 / 목표 언어 정보를 알려줄래요?,1) 결과 2) (필요시) 간단한 과정/대안
번역,can you,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",의도를 만족하는 정보를 제공하거나 동작을 수행한다. 필수 슬롯이 없으면 질문한다.,,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
시간,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
알람,Adjust,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",기존 설정/값을 수정한다. 어떤 항목을 바꾸는지 식별(기존 알람/기기) 후 변경한다.,대상(기존 항목); 변경값,필수 슬롯이 모두 채워지면 요약 확인 후 저장/변경.,어떤 항목을 말하는지(시간/제목) 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
알람,Check,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","설정/남은 시간/현재 상태를 확인해 단답+핵심값으로 응답하고, 변경/취소 옵션을 제안한다.",대상(어떤 설정/타이머/알람),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,어떤 항목을 말하는지(시간/제목) 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
알람,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
알람,Remove,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",등록된 항목을 삭제/취소한다. 다수 후보면 목록+확인 후 제거한다.,대상(기존 항목),확정/취소가 필요한 동작이므로 실행 전 요약 확인(Yes/No) 후 진행.,어떤 항목을 말하는지(시간/제목) 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
알람,Set,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",새 설정을 생성한다(알람/타이머/일정/목표값). 필수 슬롯(시간/대상/값)을 확보한다.,대상; 핵심값(시간/값/제목),필수 슬롯이 모두 채워지면 요약 확인 후 저장/변경.,어떤 항목을 말하는지(시간/제목) 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
알람,Solve,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",문제 풀이를 단계적으로 제공한다.,문제/조건,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,문제/조건 정보를 알려줄래요?,1) 결과 2) (필요시) 간단한 과정/대안
알람,Turn Off,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",대상을 끄거나 비활성화한다. 대상이 모호하면 후보를 제시해 선택을 받는다.,대상(기기/기능),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,대상(기기/기능) 정보를 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
알람,can you,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",의도를 만족하는 정보를 제공하거나 동작을 수행한다. 필수 슬롯이 없으면 질문한다.,,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
에이전트,Connect,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",연결/페어링/계정 연동을 진행한다. 단계별 체크리스트+진행 상태를 제공한다.,기기/서비스; 계정/네트워크 정보(해당 시),확정/취소가 필요한 동작이므로 실행 전 요약 확인(Yes/No) 후 진행.,기기/서비스 / 계정/네트워크 정보(해당 시) 정보를 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
에이전트,Control,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",기기/서비스의 동작을 수행한다. 위험/비가역이면 확인 질문(또는 안전모드) 후 실행한다.,"대상(기기/기능); 명령(무엇을); 값(온도/모드/단계 등, 해당 시)","실행 전 대상이 명확하면 즉시 수행, 모호/다수면 선택 질문. 안전/비가역(전원 차단, 공조 설정 등)은 확인 1회.",대상(기기/기능) / 명령(무엇을) 정보를 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
에이전트,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
에이전트,Monitor,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","상태/현재값을 조회해 결과를 요약하고, 필요한 경우 추가 옵션(상세/다음 시간대)을 제안한다.",대상/범위; 시간(현재/오늘/내일 등); 위치/기기(해당 시),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,대상/범위 / 시간(현재/오늘/내일 등) 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
에이전트,Solve,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",문제 풀이를 단계적으로 제공한다.,문제/조건,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,문제/조건 정보를 알려줄래요?,1) 결과 2) (필요시) 간단한 과정/대안
에이전트,can you,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",의도를 만족하는 정보를 제공하거나 동작을 수행한다. 필수 슬롯이 없으면 질문한다.,,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
에이전트,how to,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",방법 안내(튜토리얼)로 응답한다. 단계/주의사항/필요조건을 명확히 한다.,목표; 현재 상태(무엇을 할 수 있는지),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,목표 / 현재 상태(무엇을 할 수 있는지) 정보를 알려줄래요?,1) 요약 1줄 2) 단계(1~4) 3) 주의/대안 1개
음악,Connect,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",연결/페어링/계정 연동을 진행한다. 단계별 체크리스트+진행 상태를 제공한다.,기기/서비스; 계정/네트워크 정보(해당 시),확정/취소가 필요한 동작이므로 실행 전 요약 확인(Yes/No) 후 진행.,기기/서비스 / 계정/네트워크 정보(해당 시) 정보를 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
음악,Control,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",기기/서비스의 동작을 수행한다. 위험/비가역이면 확인 질문(또는 안전모드) 후 실행한다.,"대상(기기/기능); 명령(무엇을); 값(온도/모드/단계 등, 해당 시)",대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,대상(기기/기능) / 명령(무엇을) 정보를 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
음악,Play,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",미디어를 재생한다. 콘텐츠가 모호하면 장르/채널/플랫폼 선택지를 제안한다.,콘텐츠/채널; 플랫폼(해당 시),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,콘텐츠/채널 / 플랫폼(해당 시) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
음악,Recommend,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","추천을 제공한다. 선호/제약(가격, 거리, 취향) 슬롯을 먼저 최소로 확보한다.",추천 대상; 제약(예산/거리/취향),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,추천 대상 / 제약(예산/거리/취향) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
음악,Search,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",요청한 콘텐츠/정보를 검색해 상위 결과를 요약하고 선택을 받는다.,키워드; 범위(플랫폼/지역/기간),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,키워드 / 범위(플랫폼/지역/기간) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
음악,Solve,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",문제 풀이를 단계적으로 제공한다.,문제/조건,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,문제/조건 정보를 알려줄래요?,1) 결과 2) (필요시) 간단한 과정/대안
음악,Turn Off,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",대상을 끄거나 비활성화한다. 대상이 모호하면 후보를 제시해 선택을 받는다.,대상(기기/기능),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,대상(기기/기능) 정보를 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
음악,can you,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",의도를 만족하는 정보를 제공하거나 동작을 수행한다. 필수 슬롯이 없으면 질문한다.,,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
장소,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
장소,Locate,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",장소/경로/근처 정보를 찾는다. 위치/거리/교통수단 등 슬롯을 확보한다.,출발/기준 위치; 목적/카테고리; 이동수단(길찾기면),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,어느 위치 기준으로(현재 위치/지정 주소) 찾을까요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
장소,Recommend,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","추천을 제공한다. 선호/제약(가격, 거리, 취향) 슬롯을 먼저 최소로 확보한다.",추천 대상; 제약(예산/거리/취향),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,추천 대상 / 제약(예산/거리/취향) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
캘린더,Adjust,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",기존 설정/값을 수정한다. 어떤 항목을 바꾸는지 식별(기존 알람/기기) 후 변경한다.,대상(기존 항목); 변경값,필수 슬롯이 모두 채워지면 요약 확인 후 저장/변경.,어떤 항목을 말하는지(시간/제목) 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
캘린더,Check,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","설정/남은 시간/현재 상태를 확인해 단답+핵심값으로 응답하고, 변경/취소 옵션을 제안한다.",대상(어떤 설정/타이머/알람),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,어떤 항목을 말하는지(시간/제목) 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
캘린더,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
캘린더,Remove,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",등록된 항목을 삭제/취소한다. 다수 후보면 목록+확인 후 제거한다.,대상(기존 항목),확정/취소가 필요한 동작이므로 실행 전 요약 확인(Yes/No) 후 진행.,어떤 항목을 말하는지(시간/제목) 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
캘린더,Set,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",새 설정을 생성한다(알람/타이머/일정/목표값). 필수 슬롯(시간/대상/값)을 확보한다.,대상; 핵심값(시간/값/제목),필수 슬롯이 모두 채워지면 요약 확인 후 저장/변경.,어떤 항목을 말하는지(시간/제목) 알려줄래요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
택시,Call,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",호출/예약(택시 등)을 진행한다. 출발지/도착지/시간 확인 후 확정한다.,출발지; 도착지; 시간(지금/예약),확정/취소가 필요한 동작이므로 실행 전 요약 확인(Yes/No) 후 진행.,어느 위치 기준으로(현재 위치/지정 주소) 찾을까요?,1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
택시,Check,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","설정/남은 시간/현재 상태를 확인해 단답+핵심값으로 응답하고, 변경/취소 옵션을 제안한다.",대상(어떤 설정/타이머/알람),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,대상(어떤 설정/타이머/알람) 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
택시,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
